=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.251
Time_from_Epoch = 1769991310
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
2154.43	91.6098	0.048	0.998264	0.00250921	5.44701e-06	1.92919	3.1794e-14	1.47942	3.17225e-14	1.59465	0.99987	0.00262276	6.88152e-06	1.59691	3.30035e-14	1.80907	3.10461e-14	1.59858
2176.41	92.5641	0.0485	0.998263	0.00253907	5.56282e-06	1.92499	3.36075e-14	1.48054	3.35398e-14	1.59522	0.999866	0.00266499	7.10504e-06	1.59732	3.48893e-14	1.8092	3.284e-14	1.59912
2198.39	93.5184	0.049	0.998262	0.00256906	5.68062e-06	1.92086	3.5526e-14	1.48169	3.5463e-14	1.5958	0.999861	0.00270787	7.3356e-06	1.59775	3.68841e-14	1.80931	3.47388e-14	1.59967
2220.33	94.4726	0.0495	0.998261	0.00259918	5.80044e-06	1.9168	3.75558e-14	1.48286	3.74981e-14	1.59639	0.999857	0.00275139	7.57346e-06	1.59818	3.89943e-14	1.8094	3.67488e-14	1.60023
2242.68	95.4269	0.05	0.99826	0.00262943	5.92232e-06	1.9128	3.97035e-14	1.48407	3.96521e-14	1.59698	0.999852	0.0027956	7.8189e-06	1.59862	4.12274e-14	1.80946	3.88774e-14	1.6008
2264.82	96.3812	0.0505	0.998259	0.00265982	6.04628e-06	1.90887	4.19765e-14	1.4853	4.19324e-14	1.59759	0.999847	0.0028405	8.07221e-06	1.59907	4.35905e-14	1.80951	4.11312e-14	1.60137
2286.86	97.3354	0.051	0.998258	0.00269034	6.17236e-06	1.90499	4.43825e-14	1.48656	4.43466e-14	1.5982	0.999842	0.00288611	8.33371e-06	1.59952	4.60913e-14	1.80955	4.3518e-14	1.60196
2309.16	98.2897	0.0515	0.998258	0.00272101	6.3006e-06	1.90118	4.69295e-14	1.48785	4.6903e-14	1.59882	0.999837	0.00293247	8.60372e-06	1.59998	4.8739e-14	1.80956	4.60467e-14	1.60255
2331.18	99.244	0.052	0.998257	0.00275181	6.43102e-06	1.89742	4.96265e-14	1.48916	4.96106e-14	1.59945	0.999832	0.00297958	8.88257e-06	1.60045	5.1542e-14	1.80956	4.87254e-14	1.60315
2353.2	100.198	0.0525	0.998256	0.00278276	6.56367e-06	1.89372	5.24827e-14	1.49051	5.24787e-14	1.60009	0.999826	0.00302748	9.17062e-06	1.60093	5.45104e-14	1.80954	5.1564e-14	1.60376
2375.27	101.153	0.053	0.998255	0.00281386	6.69857e-06	1.89008	5.55081e-14	1.49187	5.55174e-14	1.60075	0.999821	0.00307618	9.46826e-06	1.60141	5.76544e-14	1.80951	5.45724e-14	1.60438
2397.4	102.107	0.0535	0.998254	0.0028451	6.83577e-06	1.88649	5.87132e-14	1.49327	5.87374e-14	1.60141	0.999815	0.00312571	9.77586e-06	1.6019	6.09848e-14	1.80947	5.77613e-14	1.60501
2419.49	103.061	0.054	0.998253	0.00287649	6.97529e-06	1.88296	6.21096e-14	1.49469	6.21504e-14	1.60208	0.999809	0.00317611	1.00938e-05	1.6024	6.45137e-14	1.80941	6.11423e-14	1.60564
2441.88	104.015	0.0545	0.998252	0.00290804	7.11719e-06	1.87948	6.57091e-14	1.49614	6.57683e-14	1.60276	0.999803	0.00322738	1.04227e-05	1.60291	6.82533e-14	1.80935	6.47273e-14	1.60629
2463.96	104.97	0.055	0.998251	0.00293974	7.2615e-06	1.87605	6.95249e-14	1.49762	6.96044e-14	1.60345	0.999796	0.00327957	1.07627e-05	1.60343	7.22171e-14	1.80927	6.85296e-14	1.60695
2486.07	105.924	0.0555	0.99825	0.00297159	7.40825e-06	1.87267	7.35711e-14	1.49912	7.36731e-14	1.60415	0.99979	0.00333271	1.11146e-05	1.60396	7.64201e-14	1.80918	7.25638e-14	1.60762
